Timestamp,Category,Status,ResponseTime,RawData
2026-03-26 06:08,Video,Error(500),0.854,Invalid Status
2026-03-26 06:08,Search,OK,1.115,"[{""type"":""video"" ""title"":""Hedge trimmer torture: Dead after 22 hours 😱 (Test hedge trimmers Stiftung"
2026-03-26 06:08,Channel,Error(404),0.42,Invalid Status
2026-03-26 06:08,Comments,OK,0.676,"{""commentCount"":10476020 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 06:08,Playlist,Error(404),0.427,Invalid Status
2026-03-26 16:01,Video,Failed,0.705,Timeout or Error
2026-03-26 16:01,Search,OK,1.207,"[{""type"":""video"" ""title"":""Hedge trimmer torture: Dead after 22 hours 😱 (Test hedge trimmers Stiftung"
2026-03-26 16:01,Channel,Failed,1.741,Timeout or Error
2026-03-26 16:01,Comments,OK,0.786,"{""commentCount"":10476036 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 16:01,Playlist,Failed,1.001,Timeout or Error
2026-03-26 17:26,Video,Failed,0.405,Timeout or Error
2026-03-26 17:26,Search,OK,1.32,"[{""type"":""video"" ""title"":""Butter Test 2026: These 7 Brands Fail Miserably in the Laboratory! 🧪"" ""vid"
2026-03-26 17:26,Channel,Failed,0.459,Timeout or Error
2026-03-26 17:26,Comments,OK,0.617,"{""commentCount"":10476093 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 17:26,Playlist,Failed,0.397,Timeout or Error
2026-03-26 17:47,Video,Failed,0.556,Timeout or Error
2026-03-26 17:47,Search,OK,0.997,"[{""type"":""video"" ""title"":""Butter Test 2026: These 7 Brands Fail Miserably in the Laboratory! 🧪"" ""vid"
2026-03-26 17:47,Channel,Failed,0.561,Timeout or Error
