Timestamp,Category,Status,ResponseTime,RawData
2026-03-26 05:25,Video,OK,0.617,
2026-03-26 05:25,Search,OK,1.305,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-03-26 05:25,Channel,Error(404),0.677,Invalid Status
2026-03-26 05:25,Comments,OK,0.833,"{""commentCount"":10476025 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 05:25,Playlist,Error(404),0.673,Invalid Status
2026-03-26 06:08,Video,Failed,1.382,"HTTPSConnectionPool(host='yt.omada.cafe', port=443"
2026-03-26 06:08,Search,OK,0.977,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-03-26 06:08,Channel,Error(404),0.596,Invalid Status
2026-03-26 06:08,Comments,OK,0.686,"{""commentCount"":10476020 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 06:08,Playlist,Error(404),0.418,Invalid Status
2026-03-26 16:01,Video,Failed,1.532,Timeout or Error
2026-03-26 16:01,Search,OK,1.497,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-03-26 16:01,Channel,Failed,0.584,Timeout or Error
2026-03-26 16:01,Comments,OK,0.787,"{""commentCount"":10476036 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 16:01,Playlist,Failed,0.649,Timeout or Error
2026-03-26 17:26,Video,OK,1.34,
2026-03-26 17:26,Search,OK,1.265,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-03-26 17:26,Channel,Failed,0.641,Timeout or Error
2026-03-26 17:26,Comments,OK,0.971,"{""commentCount"":10476093 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 17:26,Playlist,Failed,1.621,Timeout or Error
2026-03-26 17:47,Video,OK,1.497,
2026-03-26 17:47,Search,OK,1.472,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-03-26 17:47,Channel,Failed,0.56,Timeout or Error
2026-03-26 17:47,Comments,OK,0.948,"{""commentCount"":10476097 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 17:47,Playlist,Failed,0.6,Timeout or Error
2026-03-26 17:56,Video,OK,0.438,
2026-03-26 17:56,Search,OK,1.206,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-03-26 17:56,Channel,Failed,0.278,Timeout or Error
2026-03-26 17:56,Comments,OK,0.809,"{""commentCount"":10476098 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 17:56,Playlist,Failed,0.942,Timeout or Error
2026-03-26 18:05,Video,OK,1.199,
2026-03-26 18:05,Search,OK,1.427,"[{""type"":""video"" ""title"":""1 HOUR of World's FUNNIEST Kid Test Answers!"" ""videoId"":""TuCI5QeV_IE"" ""aut"
2026-03-26 18:05,Channel,Failed,0.569,Timeout or Error
2026-03-26 18:05,Comments,OK,0.845,"{""commentCount"":10476106 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:05,Playlist,Failed,0.63,Timeout or Error
2026-03-26 18:10,Video,Failed,1.856,Timeout or Error
2026-03-26 18:10,Search,OK,1.43,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-03-26 18:10,Channel,Failed,1.16,Timeout or Error
2026-03-26 18:10,Comments,OK,1.639,"{""commentCount"":10476090 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:10,Playlist,Failed,0.594,Timeout or Error
2026-03-26 18:30,Video,Failed,1.709,Timeout or Error
2026-03-26 18:30,Search,OK,1.231,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-03-26 18:30,Channel,Failed,0.873,Timeout or Error
2026-03-26 18:30,Comments,OK,0.535,"{""commentCount"":10476091 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:30,Playlist,Failed,1.238,Timeout or Error
2026-03-26 18:56,Video,OK,1.211,
2026-03-26 18:56,Search,OK,1.465,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-03-26 18:56,Channel,Failed,0.747,Timeout or Error
2026-03-26 18:56,Comments,OK,0.825,"{""commentCount"":10476105 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:56,Playlist,Failed,1.423,Timeout or Error
2026-03-26 19:51,Video,OK,1.401,
2026-03-26 19:51,Search,OK,1.514,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-03-26 19:51,Channel,Failed,1.454,Timeout or Error
2026-03-26 19:51,Comments,OK,1.192,"{""commentCount"":10476102 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 19:51,Playlist,Failed,0.573,Timeout or Error
2026-03-26 20:45,Video,OK,1.665,
2026-03-26 20:45,Search,OK,1.69,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-03-26 20:45,Channel,Failed,1.103,Timeout or Error
2026-03-26 20:45,Comments,OK,1.555,"{""commentCount"":10476158 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 20:45,Playlist,Failed,1.041,Timeout or Error
2026-03-26 22:01,Video,Failed,1.564,Timeout or Error
2026-03-26 22:01,Search,Failed,1.983,Timeout or Error
2026-03-26 22:01,Channel,Failed,1.678,Timeout or Error
2026-03-26 22:01,Comments,Failed,1.632,Timeout or Error
2026-03-26 22:01,Playlist,Failed,2.664,Timeout or Error
2026-03-26 23:43,Video,Failed,2.371,Timeout or Error
2026-03-26 23:43,Search,Failed,1.984,Timeout or Error
2026-03-26 23:43,Channel,Failed,1.585,Timeout or Error
2026-03-26 23:43,Comments,Failed,1.448,Timeout or Error
2026-03-26 23:43,Playlist,Failed,1.451,Timeout or Error
2026-03-26 23:59,Video,Failed,1.99,Timeout or Error
2026-03-26 23:59,Search,Failed,1.428,Timeout or Error
2026-03-26 23:59,Channel,Failed,2.006,Timeout or Error
2026-03-26 23:59,Comments,Failed,1.86,Timeout or Error
2026-03-26 23:59,Playlist,Failed,1.429,Timeout or Error
2026-03-27 01:15,Video,Failed,1.867,Timeout or Error
2026-03-27 01:15,Search,Failed,1.697,Timeout or Error
2026-03-27 01:15,Channel,Failed,1.809,Timeout or Error
